,wficn,date,ret
173,100003,2007-12-31,-0.013662924
174,100003,2008-01-31,-0.052237196
175,100003,2008-02-29,-0.041961878
176,100003,2008-03-31,-0.008372768
177,100003,2008-04-30,0.033715042
178,100003,2008-05-30,0.042957534
179,100003,2008-06-30,-0.09123172
180,100003,2008-07-31,-0.016457677
181,100003,2008-08-29,0.007973958
182,100003,2008-09-30,-0.129544631
183,100003,2008-10-31,-0.181672327
184,100003,2008-11-28,-0.084810715
185,100003,2008-12-31,0.043184626
186,100003,2009-01-30,-0.048864678
187,100003,2009-02-27,-0.076875551
188,100003,2009-03-31,0.08149893
189,100003,2009-04-30,0.138036387
190,100003,2009-05-29,0.042392143
191,100003,2009-06-30,-0.007068486
192,100003,2009-07-31,0.09481435
193,100003,2009-08-31,0.034330235
194,100003,2009-09-30,0.055319408
195,100003,2009-10-30,-0.051013862
196,100003,2009-11-30,0.037870911
197,100003,2009-12-31,0.059335401
198,100003,2010-01-29,-0.034850694
199,100003,2010-02-26,0.052699889
200,100003,2010-03-31,0.059151463
201,100003,2010-04-30,0.021354917
202,100003,2010-05-28,-0.073910256
203,100003,2010-06-30,-0.055619679
204,100003,2010-07-30,0.059328813
205,100003,2010-08-31,-0.053179266
206,100003,2010-09-30,0.121490992
207,100003,2010-10-29,0.04344918
208,100003,2010-11-30,0.035638567
209,100003,2010-12-31,0.073883757
210,100003,2011-01-31,0.024053106
211,100003,2011-02-28,0.045061316
212,100003,2011-03-31,0.020643084
213,100003,2011-04-29,0.017832019
214,100003,2011-05-31,-0.023832735
215,100003,2011-06-30,-0.025175833
216,100003,2011-07-29,-0.045144748
217,100003,2011-08-31,-0.09766201
218,100003,2011-09-30,-0.09585027
219,100003,2011-10-31,0.15804065
220,100003,2011-11-30,-0.006161973
221,100003,2011-12-30,-0.01258625
222,100003,2012-01-31,0.062908347
223,100003,2012-02-29,0.039615926
224,100003,2012-03-30,0.007290095
225,100003,2012-04-30,-0.008144673
226,100003,2012-05-31,-0.075476546
227,100003,2012-06-29,0.03267762
228,100003,2012-07-31,0.000184788
229,100003,2012-08-31,0.02039429
230,100003,2012-09-28,0.02211281
231,100003,2012-10-31,-0.004438178
232,100003,2012-11-30,0.014547996
233,100003,2012-12-31,0.027026517
234,100003,2013-01-31,0.057682492
235,100003,2013-02-28,0.016692437
236,100003,2013-03-28,0.046084031
237,100003,2013-04-30,0.001789271
238,100003,2013-05-31,0.019625831
239,100003,2013-06-28,-0.013082944
240,100003,2013-07-31,0.0548017
241,100003,2013-08-30,-0.031267891
242,100003,2013-09-30,0.058536627
243,100003,2013-10-31,0.040902503
244,100003,2013-11-29,0.021298694
245,100003,2013-12-31,0.037521057
246,100003,2014-01-31,-0.021658615
247,100003,2014-02-28,0.076034703
248,100003,2014-03-31,-0.003864078
249,100003,2014-04-30,-0.026949994
250,100003,2014-05-30,0.024153616
251,100003,2014-06-30,0.050761055
252,100003,2014-07-31,-0.031624804
253,100003,2014-08-29,0.048150591
254,100003,2014-09-30,-0.046947253
255,100003,2014-10-31,0.027888311
256,100003,2014-11-28,0.017578201
257,100003,2014-12-31,0.004323673
258,100003,2015-01-30,-0.025338107
259,100003,2015-02-27,0.052118684
260,100003,2015-03-31,0.00235165
261,100003,2015-04-30,-0.006236606
262,100003,2015-05-29,0.006067499
263,100003,2015-06-30,-0.016843547
264,100003,2015-07-31,0.001934095
265,100003,2015-08-31,-0.044841905
266,100003,2015-09-30,-0.027161372
267,100003,2015-10-30,0.078970726
268,100003,2015-11-30,0.019981545
269,100003,2015-12-31,-0.030363521
270,100003,2016-01-29,-0.080238479
271,100003,2016-02-29,0.011590044
272,100003,2016-03-31,0.082357935
273,100003,2016-04-29,0.026407174
274,100003,2016-05-31,0.039811206
275,100003,2016-06-30,-0.015676945
276,100003,2016-07-29,0.057967172
277,100003,2016-08-31,0.013420102
278,100003,2016-09-30,0.010659859
279,100003,2016-10-31,-0.003043366
280,100003,2016-11-30,0.095733826
281,100003,2016-12-30,0.024290484
282,100003,2017-01-31,0.014300048
283,100003,2017-02-28,0.029238301
284,100003,2017-03-31,-0.007802542
285,100003,2017-04-28,0.016735806
286,100003,2017-05-31,-0.006392047
287,100003,2017-06-30,0.023872607
288,100003,2017-07-31,-0.000676554
289,100003,2017-08-31,-0.011510438
290,100003,2017-09-29,0.044739795
291,100003,2017-10-31,0.013234741
292,100003,2017-11-30,0.0442293
293,100003,2017-12-29,0.014095714
294,100003,2018-01-31,0.028068501
295,100003,2018-02-28,-0.027192009
296,100003,2018-03-29,-0.00784396
297,100003,2018-04-30,-0.000264968
298,100003,2018-05-31,0.016315004
299,100003,2018-06-29,0.008022492
300,100003,2018-07-31,0.024632304
301,100003,2018-08-31,0.02853388
302,100003,2018-09-28,-0.016999637
303,100003,2018-10-31,-0.065687317
304,100003,2018-11-30,0.014666405
305,100003,2018-12-31,-0.103774303
306,100003,2019-01-31,0.109212298
307,100003,2019-02-28,0.038207805
308,100003,2019-03-29,-0.008078707
309,100003,2019-04-30,0.037691137
310,100003,2019-05-31,-0.075485826
311,100003,2019-06-28,0.061146198
312,100003,2019-07-31,0.021682998
313,100003,2019-08-30,-0.046043558
314,100003,2019-09-30,0.033518729
315,100003,2019-10-31,0.004918476
316,100003,2019-11-29,0.031305252
317,100003,2019-12-31,0.026714272
318,100003,2020-01-31,-0.021420986
319,100003,2020-02-28,-0.082122359
320,100003,2020-03-31,-0.2023592
321,100003,2020-04-30,0.138599566
322,100003,2020-05-29,0.084871487
323,100003,2020-06-30,0.024205051
324,100003,2020-07-31,0.062248595
325,100003,2020-08-31,0.053038941
326,100003,2020-09-30,-0.023233602
327,100003,2020-10-30,0.012935815
328,100003,2020-11-30,0.159420789
329,100003,2020-12-31,0.047188412
330,100003,2021-01-29,-0.00992667
331,100003,2021-02-26,0.074669448
332,100003,2021-03-31,0.028254132
333,100003,2021-04-30,0.067123801
334,100003,2021-05-28,0.007515328
335,100003,2021-06-30,-0.004696998
336,100003,2021-07-30,0.017767037
337,100003,2021-08-31,0.022504778
338,100003,2021-09-30,-0.02467206
339,100003,2021-10-29,0.062219783
340,100003,2021-11-30,-0.033721902
341,100003,2021-12-31,0.049839651
