dateff,mktrf,smb,hml,rf,umd
19860530,0.046200,-0.013500,-0.002100,0.00490,0.020500
19860630,0.010300,-0.009500,0.013000,0.00520,0.050700
19860731,-0.064500,-0.033600,0.047000,0.00520,0.018500
19860829,0.060700,-0.041700,0.035100,0.00460,-0.052800
19860930,-0.086000,0.023600,0.032200,0.00450,-0.057900
19861031,0.046600,-0.025000,-0.014200,0.00460,0.044600
19861128,0.011700,-0.019100,-0.000700,0.00390,-0.002600
19861231,-0.032700,0.001300,0.003600,0.00490,0.003500
19870130,0.124700,-0.018100,-0.031600,0.00420,0.022000
19870227,0.043900,0.034900,-0.059100,0.00430,-0.020700
19870331,0.016400,0.004500,0.016100,0.00470,0.016800
19870430,-0.021100,-0.016900,-0.003900,0.00440,0.002200
19870529,0.001100,-0.005000,0.002300,0.00380,-0.007400
19870630,0.039400,-0.021200,0.010400,0.00480,-0.002500
19870731,0.038500,-0.006600,0.007300,0.00460,0.026600
19870831,0.035200,-0.007700,-0.009500,0.00470,-0.008600
19870930,-0.025900,0.005600,0.003000,0.00450,0.007700
19871030,-0.232400,-0.084000,0.042300,0.00600,-0.078600
19871130,-0.077700,0.027500,0.029600,0.00350,-0.011700
19871231,0.068100,0.001200,-0.043900,0.00390,0.058700
19880129,0.042100,-0.007600,0.049500,0.00290,-0.072700
19880229,0.047500,0.033400,-0.016900,0.00460,-0.014700
19880331,-0.022700,0.061400,0.007400,0.00440,0.005800
19880429,0.005600,0.009800,0.016300,0.00460,0.022400
19880531,-0.002900,-0.026100,0.024200,0.00510,0.006300
19880630,0.047900,0.021000,-0.012200,0.00490,-0.029300
19880729,-0.012500,-0.002600,0.021700,0.00510,0.006500
19880831,-0.033100,0.000400,0.021000,0.00590,0.003500
19880930,0.033000,-0.013000,-0.007500,0.00620,0.002700
19881031,0.011500,-0.029200,0.016900,0.00610,0.013300
19881130,-0.022900,-0.017100,0.013000,0.00570,0.003300
19881230,0.014900,0.019700,-0.016100,0.00630,0.004900
19890131,0.061000,-0.022200,0.006200,0.00550,-0.001600
19890228,-0.022500,0.028200,0.009300,0.00610,0.009900
19890331,0.015700,0.006700,0.005400,0.00670,0.035100
19890428,0.043300,-0.006800,-0.014000,0.00670,0.017700
19890531,0.033500,-0.000500,-0.008700,0.00790,0.015200
19890630,-0.013500,-0.010200,0.022300,0.00710,0.004300
19890731,0.072000,-0.041600,-0.027900,0.00700,0.053900
19890831,0.014400,0.005600,0.006000,0.00740,-0.001200
19890929,-0.007600,0.003200,-0.012700,0.00650,0.034000
19891031,-0.036700,-0.032400,-0.011100,0.00680,0.013200
19891130,0.010300,-0.012400,-0.010900,0.00690,0.026000
19891229,0.011600,-0.023700,0.001600,0.00610,0.028000
19900131,-0.078500,-0.012500,0.008500,0.00570,-0.032700
19900228,0.011100,0.009700,0.006400,0.00570,-0.005400
19900330,0.018300,0.014600,-0.029200,0.00640,0.018000
19900430,-0.033600,-0.004500,-0.025900,0.00690,0.023900
19900531,0.084200,-0.025600,-0.038300,0.00680,0.030300
19900629,-0.010900,0.013600,-0.019300,0.00630,0.024000
19900731,-0.019000,-0.030900,-0.000400,0.00680,0.061400
19900831,-0.101500,-0.035600,0.016000,0.00660,0.018800
19900928,-0.061200,-0.036700,0.006100,0.00600,0.057800
19901031,-0.019200,-0.055300,0.000000,0.00680,0.067100
19901130,0.063500,0.004500,-0.029700,0.00570,-0.054800
19901231,0.024600,0.008200,-0.016300,0.00600,0.002900
19910131,0.046900,0.038300,-0.015700,0.00520,-0.064500
19910228,0.071900,0.039900,-0.006300,0.00480,-0.046100
19910328,0.026500,0.039000,-0.013000,0.00440,0.028700
19910430,-0.002800,0.004800,0.014500,0.00530,-0.023600
19910531,0.036500,-0.004000,-0.004900,0.00470,-0.001100
19910628,-0.049400,0.001500,0.010700,0.00420,0.004700
19910731,0.042400,-0.009200,-0.013200,0.00490,0.042400
19910830,0.023200,0.015900,-0.007800,0.00460,0.015700
19910930,-0.015900,0.016400,-0.010700,0.00460,0.017900
19911031,0.012900,0.008100,-0.004600,0.00420,0.030600
19911129,-0.041900,-0.005000,-0.018800,0.00390,0.011400
19911231,0.108400,-0.022400,-0.041800,0.00380,0.081900
19920131,-0.005900,0.084600,0.047000,0.00340,-0.024900
19920228,0.010900,0.008700,0.064700,0.00280,-0.005300
19920331,-0.026600,-0.010400,0.035500,0.00340,-0.002900
19920430,0.010700,-0.060600,0.043200,0.00320,-0.025800
19920529,0.003000,0.004100,0.011900,0.00280,0.002100
19920630,-0.023400,-0.030700,0.032500,0.00320,-0.005800
19920731,0.037700,-0.005100,-0.005500,0.00310,0.015900
19920831,-0.023800,-0.001400,-0.010800,0.00260,-0.005100
19920930,0.011900,0.004900,-0.002300,0.00260,0.015000
19921030,0.010200,0.021000,-0.019800,0.00230,0.024800
19921130,0.041300,0.037900,-0.014200,0.00230,-0.001500
19921231,0.015300,0.016700,0.026500,0.00280,0.043100
19930129,0.009300,0.018500,0.059500,0.00230,0.048400
19930226,0.001200,-0.034900,0.064400,0.00220,0.031400
19930331,0.023000,0.002300,0.011900,0.00250,0.037300
19930430,-0.030500,-0.006800,0.024800,0.00240,0.003800
19930528,0.028900,0.020800,-0.035000,0.00220,0.002200
19930630,0.003100,-0.002600,0.027200,0.00250,0.045500
19930730,-0.003400,0.009000,0.028200,0.00240,0.031900
19930831,0.037100,0.001400,0.001400,0.00250,0.026500
19930930,-0.001200,0.029800,-0.003500,0.00260,0.033700
19931029,0.014100,0.020300,-0.027800,0.00220,-0.027200
19931130,-0.018900,-0.011300,-0.006600,0.00250,-0.047400
19931231,0.016500,0.012000,0.002700,0.00230,0.023600
19940131,0.028700,0.005100,0.012800,0.00250,0.000000
